country,year,Real GDP growth (%),"Inflation, average CPI (%)","Inflation, end-of-period CPI (%)",Overall fiscal balance (% of GDP),Primary fiscal balance (% of GDP),General government revenue (% of GDP),General government expenditure (% of GDP),General government gross debt (% of GDP),Current account balance (% of GDP),Gross capital formation (% of GDP),Gross national savings (% of GDP),Exports of goods and services volume growth (%),Imports of goods and services volume growth (%),Nominal GDP (US$ billions)
Ghana,2015,2.121,17.153,17.692,-4.007,0.938,14.616,18.623,53.896,-5.711,27.71,22.893,-8.669,0.423,49.437
Ghana,2016,3.373,17.455,15.362,-6.746,-1.496,13.145,19.891,55.942,-5.06,25.456,20.749,5.007,-2.902,56.144
Ghana,2017,8.129,12.372,11.821,-3.966,1.198,13.616,17.582,56.984,-3.316,19.566,16.848,31.578,8.03,60.385
Ghana,2018,6.2,9.837,9.425,-6.791,-1.351,14.104,20.895,61.976,-3.037,21.709,19.198,1.241,8.122,67.259
Ghana,2019,6.508,7.208,7.896,-7.519,-1.975,14.971,22.491,62.927,-2.232,18.647,17.389,5.123,10.527,68.353
Ghana,2020,0.514,9.918,10.473,-17.443,-11.167,14.068,31.511,79.089,-2.534,18.224,16.737,-6.368,-7.325,70.008
Ghana,2021,5.076,9.976,12.621,-12.032,-4.771,15.182,27.214,86.875,-2.713,17.037,15.299,-10.307,13.477,79.514
Ghana,2022,3.818,31.921,54.143,-11.76,-4.323,15.733,27.493,92.723,-2.302,15.522,13.681,3.797,8.861,73.919
Ghana,2023,3.128,39.21,23.189,-3.366,-0.319,15.17,18.536,79.092,-1.601,9.9,8.548,-6.058,-1.097,80.547
Ghana,2024,5.685,22.875,23.836,-7.314,-3.305,15.864,23.178,70.348,1.115,9.957,11.434,2.32,11.552,82.825
Ghana,2025,4.026,16.645,11.978,-2.728,1.453,16.141,18.869,59.081,1.808,10.522,12.79,-2.206,6.491,111.963
Ghana,2026,4.793,9.876,8.0,-1.906,1.5,17.045,18.952,56.07,1.674,12.578,14.687,5.231,6.106,113.494
Ghana,2027,4.947,8.0,8.0,-1.703,1.5,17.168,18.871,53.667,0.831,13.62,14.833,0.913,4.063,117.237
Ghana,2028,4.995,8.0,8.0,-1.924,1.5,17.1,19.024,51.323,0.319,14.582,15.264,4.384,5.083,121.933
Ghana,2029,5.0,8.0,8.0,-2.095,1.5,17.1,19.195,49.26,0.337,15.64,16.348,8.878,5.257,128.129
Ghana,2030,5.0,8.0,8.0,-2.513,1.0,17.1,19.613,47.581,-0.076,17.134,17.42,3.356,4.573,135.908
